tag,title,grouping,weight,section,notes
missionHat,MISSION Cooling Bucket Hat w/ neck cape — stone,Sun,~3.5 oz *(est)*,Clothing — head & hands,"Photos 1982978 + interior tag 1982900 (""2022-KS1""). Cooling fabric activates with water — genuinely useful on the exposed Lake Como road walk."
grayBoonie,Gray boonie sun hat — **brand unresolved**,Sun,~3 oz *(est)*,Clothing — head & hands,Photo 1982926 (interior only). **Q: brand?**
moab3,"Merrell Moab 3 (low) — walnut, Vibram TC5+",Hiker,32.5 oz per pair *(mfr: 460 g/shoe)*,"Footwear — size 10, weights per pair",Photos 6961 + pair shot. Comfort workhorse.
bushido2,La Sportiva Bushido II — black/coral,Trail runner,21.0 oz per pair *(mfr: 10.5 oz/shoe)*,"Footwear — size 10, weights per pair","Photo 1982910. The most precise, sticky-rubber shoe you own — strong candidate for the Blanca/Ellingwood summit day if your ankles are happy in it."
tnfFastpack,The North Face Ultra Fastpack IV FUTURELIGHT (low),Hiker,"~28 oz per pair *(retailer measurement: 14 oz/shoe, size 10)*","Footwear — size 10, weights per pair","Photo 6962 (""FUTURELIGHT""/""FastFoam"" verified). Waterproof membrane."
nb610,New Balance 610 trail runners — gray/blue/orange,Trail runner,~23 oz *(est)*,"Footwear — size 10, weights per pair","Photos 6963/6964/6965 (""new balance"" heel, ""AT TERRAIN"" verified). Older tread — training tier."
obozSawtooth,Oboz Sawtooth Mid B-DRY — sage/green,Boot,~38 oz *(est)*,"Footwear — size 10, weights per pair",Photo 1982960. Waterproof mid — the ankle-support option for the loaded Lake Como carry.
microspikes,Kahtoola MICROspikes + tote (size L fits a 10 shoe),Traction,"13.1 oz *(mfr, size L)*",Traction & gaiters — per pair,Photo 1982962. Maps to the app's existing conditional `microspikes`. August use unlikely but conditions-dependent. Photo inventory identifies size L; Kahtoola lists L at 13.1 oz/pair.
kahtoolaGaiters,Kahtoola low gaiters (INSTAgaiter-style) — black/red,Gaiters,~2.5 oz *(est)*,Traction & gaiters — per pair,"Photo 1983004, kahtoola labels verified. Scree/debris protection — genuinely useful on the Lake Como talus."
pikeTrailGaiters,Pike Trail waterproof leg gaiters + stuff sack,Gaiters,~8 oz *(est)*,Traction & gaiters — per pair,"Photo 6947, logo verified. Full-height; overkill for August unless snowfields linger."
salomonGaiters,"Salomon low trail gaiters — black, **well-worn**",Gaiters,~1.8 oz *(est)*,Traction & gaiters — per pair,Photo 1982916. Visible wear/holes — inspect before trusting them on this trip.
solBivy,SOL Emergency Bivvy — orange,Safety,3.8 oz *(mfr)*,"Camp, hydration & safety",Photos 6943/6944 (label zoom-verified). Maps to the app's `emergencyBivy`.
amkKit,Adventure Medical Kits Ultralight/Watertight .5,Safety,3.6 oz *(mfr)*,"Camp, hydration & safety",Photo 6987. Maps to the app's `firstAid`. Check contents/expiry before the trip.
sawyerSqueeze,Sawyer Squeeze filter system w/ pouches + cleaning coupling (bagged),Water,~7 oz kit *(filter 3 oz mfr)*,"Camp, hydration & safety",Photo 6986. Maps to the app's `waterFilter`. Backflush before departure.
vapur,Vapur collapsible bottle ~1 L — blue,Water,1.4 oz *(mfr-typical)*,"Camp, hydration & safety",Photo 1982970.
nativeWestDry,Native West roll-top dry bag ~10 L — yellow,Organization,~6 oz *(est)*,"Camp, hydration & safety",Photo 1982952. Sleep-clothes/electronics protection inside the Paragon.
stsTowel,"Sea to Summit camp towel (gray case, yellow towel)",Camp,~4.5 oz *(est)*,"Camp, hydration & safety",Photo 1982946.
snowPeak450,Snow Peak Titanium Single 450 mug,Kitchen,2.4 oz *(mfr)*,"Camp, hydration & safety",Photo 1982896. Pairs with the app's `spoonMug`. Your coffee vessel for the Sunday 3:30 AM brew.
rahuenSpork,Rahuen titanium long-handle spork + pouch,Kitchen,~0.8 oz *(est)*,"Camp, hydration & safety",Photo 1983000. Long handle reaches the bottom of RTE/dehydrated pouches.
morakniv,Morakniv fixed-blade knife w/ sheath — mint,Tools,~4 oz *(est)*,"Camp, hydration & safety",Photo 6990.
ankerBank,"Anker PowerCore III Sense 10K (10,000 mAh)",Power,~7.5 oz *(mfr-typical)*,Electronics,Photos 6998 (model label verified) + 1982902/1982974. Maps to the app's `powerBank`. ~2 full phone charges.
bdSprinter,Black Diamond Sprinter 500 headlamp — blue,Light,"3.7 oz *(mfr, 105 g)*",Electronics,"Photos 6953/6955/1982966. 500 lm, dual-fuel (rechargeable BD 1800 **or** 3×AAA), rear red flasher. **Recommend as primary** — brightest and dual-fuel redundancy."
bdSpot400,Black Diamond Spot 400 headlamp — octane,Light,3.0 oz *(mfr with AAA; 86 g)*,Electronics,Photos 6958/1982982/1982992. AAA-powered backup; Black Diamond lists 86 g with AAA batteries and 72 g with BD1500.
